454 1196
3894637553 4256589577 25.75643802896994 
198373726 8133088565 10.113156450347311  Cherry Street
11331352913 11329562521 177.37830707369682 
12075173704 12075173711 286.89899174802025 
3894630215 3894633165 50.26528696599087 
198519719 3894637552 96.30662547858142 
8341641109 8341641108 13.511921268777582 
7234367438 7234367436 7.931259280734456 
198655353 8137726009 94.53442412999608  North Loop Road
198366303 198366299 86.41471503783846  President's Drive
198409953 5546400179 83.01140475333537 
198588884 198588882 111.49569276544526  North Pearl Street
3894635954 3894636162 132.6902579685143  Ebaugh Drive
5546400204 5546400188 53.915506140009896 
7234367415 7234296669 4.376176990177347 
5803664455 7234367519 11.522337377987972 
3894630232 3894630233 3.9380542780721393  Herrick Hall
7200521424 7200521410 42.06622115829455 
7234367419 198519708 11.055572862955856  North Plum Street
9365640282 9365640220 47.96730325161149 
8137815355 8137815361 67.43228532456297 
198356017 198356014 23.502258254823147 
198356080 6847572630 27.82604124183475 
11329728167 11329562483 177.55154911495816 
6829774070 6829774077 52.87881326985908 
7019363083 7019363084 17.25886430367953 
3894630233 3894630232 3.9380542780721393 
3894630237 3894630238 3.957238106742247  Herrick Hall
3894630220 3894630221 3.7106655819395558  Herrick Hall
198356020 198356023 88.08573194306297 
7019363084 7019373488 85.56426636305983 
3894641827 3894641831 108.09293682160042  Seeley G Mudd Learning Center
3894635412 198521204 100.21133506764345  West Loop Road
7234391441 198512572 8.30575851570168  East Broadway
4256592594 3894633165 21.50492071628994  Reese-Shackelford Commons
7655406259 198588890 106.19151150509609 
198551754 198588884 55.386937841861645  North Pearl Street
9365636000 9365635969 702.9765128275188 
7234296670 4937605766 85.14607408390579 
8654444838 8654444845 47.602856572594604 
198409946 5546400179 115.50623735835967 
6956911707 6956911704 14.172742291948534 
12075173712 198512576 4.244737375904831  North Prospect Street
11331370033 450619139 661.6551766325482 
8317358606 8317381123 86.12798395657768  Ebaugh Drive
198588884 6837423859 54.775472365529204  Cedar Lane
7234391441 7234391440 17.329631629028835 
4256589585 4256589586 27.81453017821077 
4256589584 4256589587 20.089962444901083 
8137815384 8137815381 35.55586487245182 
11329468184 198592631 12.737235078086899  Linden Place
